dataset,freq_low,freq_high,CSI-M,CSI-35,CSI-40,CSI-pool-4x4,CSI-pool-16x16,HSS,MSE,MAE,RMSE,PSNR,SSIM,CRPS,LPIPS,source_file
shanghai,17.49,0.14,0.43282942095833,0.39530270900308156,0.2744399683256623,0.4932329555273592,0.5520149747498081,0.5750132511438316,29.28747,1.6973234,5.014598,25.812524508030304,0.8126095886264322,0.018859151968769295,0.2333974,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow17.49_fhigh0.14/logs/log.log
shanghai,17.49,0.42,0.4341248219153358,0.39692606624386684,0.275126782981255,0.49589848407803677,0.5562484156758766,0.5763762519371569,29.401236,1.7045183,5.0227747,25.79971400022414,0.8124980250098378,0.018939095441051584,0.23332644,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow17.49_fhigh0.42/logs/log.log
shanghai,17.49,1.13,0.43387281138456174,0.39729128581528234,0.27618811124929366,0.49307160228964303,0.5508520341922672,0.5760994518585265,29.271454,1.6953503,5.010833,25.823134991653937,0.8122931801129072,0.018837224487350854,0.23279119,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow17.49_fhigh1.13/logs/log.log
shanghai,17.49,2.25,0.43221519795337227,0.3950521029492789,0.2733527411985432,0.4922692484917507,0.5510986043488773,0.5745359035443981,29.223408,1.6943312,5.014293,25.800056913346726,0.8129949823843405,0.018825903456430093,0.23667207,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow17.49_fhigh2.25/logs/log.log
shanghai,17.49,4.43,0.4293444423668111,0.39163795987811306,0.2703923064619657,0.4982705557397632,0.562651049482775,0.5713266792645506,30.93303,1.7676287,5.1514072,25.57581837078486,0.8096744576783182,0.019640318923299517,0.23864496,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow17.49_fhigh4.43/logs/log.log
shanghai,34.33,0.14,0.43379174373624985,0.3969856570988322,0.2760065648950429,0.49472048949164277,0.5567785817334274,0.5760595647899757,29.369486,1.706077,5.0245523,25.78814354241721,0.8118274991265393,0.018956408942472337,0.23206933,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow34.33_fhigh0.14/logs/log.log
shanghai,34.33,0.42,0.43213881877718396,0.3951932364680375,0.2725006737745014,0.49180794091931995,0.5498427511689034,0.5745659867317399,29.2807,1.690781,5.0149055,25.804396863302266,0.8138477854431677,0.018786456046733027,0.23517403,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow34.33_fhigh0.42/logs/log.log
shanghai,34.33,1.13,0.4326276892824801,0.3955929229730248,0.274079555584655,0.49087289558276215,0.54968970619625,0.5749377594818721,29.049313,1.678881,5.0013633,25.82056170769213,0.8142097510119501,0.01865423343922979,0.23328546,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow34.33_fhigh1.13/logs/log.log
shanghai,34.33,2.25,0.4295029424530268,0.39098928769777064,0.2692591517714434,0.49832813694797556,0.5641401589098223,0.5714492487629963,30.670807,1.7597611,5.1320486,25.598020594363156,0.8101095366905675,0.019552901894812246,0.23764706,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow34.33_fhigh2.25/logs/log.log
shanghai,34.33,4.43,0.43130548412531844,0.394631030222652,0.2739047149809864,0.49065275166258326,0.5495243844266848,0.5734667763266583,29.50896,1.7078146,5.03506,25.76825224053518,0.8115671715772443,0.018975720401298614,0.23520069,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow34.33_fhigh4.43/logs/log.log
