freq_high\freq_low,8.74,17.49,34.33
4.43,0.396346,0.393820,0.395039
2.25,0.396623,0.394937,0.396144
1.13,0.396924,0.396773,0.392954
0.42,0.396967,0.395336,0.393470
0.14,0.395756,0.396548,0.395750
