freq_high\freq_low,1.09,3.28,8.74,17.49,34.33
4.43,0.575783,0.572333,0.573285,0.574761,0.573467
2.25,0.574013,0.573191,0.427824,0.578291,
1.13,,0.576473,,0.443198,
0.42,0.575760,0.574103,0.575427,0.576031,0.576568
0.14,0.577094,0.576569,0.458323,0.452933,0.458465
